Year,Total Revenue (Millions of $),Total Payroll
1990,1346.1,454422925
1991,1459.1,630008474
1992,1583.6,783893948
1993,1774.5,856648188
1994,1687,884936262
1995,1410.5,882082040
1996,1847.2,895178844
1997,2215.8,1061631360
1998,2663.3,1210532333
1999,2827.9,1445119433
2000,3177.6,1686271795
2001,3583,1962841814
2002,3652,2024680522
2003,3878,2127863461
2004,4269,2071265943
2005,4733,2191886898
2006,5111,2326706685
2007,5489,2476688987
2008,5819,2686433458
2009,5898,2655395194
2010,6137,2730601685
2011,6359,2786161291
2012,6808,2940657192
2013,7089,3187568088
2014,7864,3453960397
2015,8394,3658284542
2016,9027,3937842897
2017,9460,3878284045
2018,9895,4141041635
2019,10374,4007869480
